Timestamp, Name, Email, Phone Number, Do you have a Working With Children Check? If not- please organise this before next Monday the 13th.,    If you do have a WWCC, what is your number?, Can you drive to and from your class?, What is your gender?    Have you mentored before?, Monday 9:55-11am - Kiara College, Monday 10-11am - Balga SHS, Monday 12:18-1:22pm - Fremantle CollegeMonday 12:18-1:22pm - Fremantle College, Monday 1:55-2:45pm - Southern River College, Tuesday 8:50-9:55am - Kiara College, Tuesday 10-11am - Balga SHS, Tuesday 12:18-1:22pm - Fremantle College, Tuesday 1:55-2:45pm - Southern River College, Wednesday 10-11am - Balga SHS, Wednesday 11:10-12:15pm - Fremantle College, Wednesday 12:20-1:25pm - Balga SHS, Wednesday 1:55-2:45pm - Southern River College, Thursday 1:05-1:55pm - Southern River College, Thursday 1:45-2:50pm - Fremantle College, Thursday 1:55-3pm - Kiara College, Friday 9:30-10:40am - Hampton SHS, Friday 2-3pm BalgaSHS
2018/12/19,name0,name0@gmail.com,11010101,Yes,123141,Yes,Female,No,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,3,0
2018/12/19,name1,name1@gmail.com,11010101,Yes,123141,No,Male,Yes,0,0,0,0,0,4,2,0,0,0,0,0,0,0,3,1,0
2018/12/19,name2,name2@gmail.com,11010101,No,123141,Yes,Female,Yes,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,3,0
2018/12/19,name3,name3@gmail.com,11010101,No,123141,No,Female,No,0,0,2,0,0,0,0,0,4,3,0,0,0,0,0,0,1
2018/12/19,name4,name4@gmail.com,11010101,No,123141,Yes,Male,Yes,0,0,0,0,3,2,1,0,0,4,0,0,0,0,0,0,0
2018/12/19,name5,name5@gmail.com,11010101,Yes,123141,Yes,Female,Yes,0,3,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0
2018/12/19,name6,name6@gmail.com,11010101,No,123141,No,Female,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3
2018/12/19,name7,name7@gmail.com,11010101,No,123141,No,Male,Yes,0,0,0,0,2,0,0,0,4,0,0,3,1,0,0,0,0
2018/12/19,name8,name8@gmail.com,11010101,Yes,123141,No,Male,No,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,3,0
2018/12/19,name9,name9@gmail.com,11010101,Yes,123141,No,Female,No,0,0,0,2,0,0,1,0,3,0,0,0,0,0,4,0,0
2018/12/19,name10,name10@gmail.com,11010101,No,123141,No,Male,Yes,4,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0
2018/12/19,name11,name11@gmail.com,11010101,No,123141,No,Female,Yes,2,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1
2018/12/19,name12,name12@gmail.com,11010101,No,123141,Yes,Male,Yes,0,0,0,0,3,0,0,0,0,0,4,0,2,0,0,0,1
2018/12/19,name13,name13@gmail.com,11010101,Yes,123141,No,Female,No,0,0,0,0,3,0,1,4,0,0,2,0,0,0,0,0,0
2018/12/19,name14,name14@gmail.com,11010101,No,123141,No,Female,Yes,0,0,0,0,0,0,3,0,0,4,0,2,0,0,1,0,0
2018/12/19,name15,name15@gmail.com,11010101,Yes,123141,No,Male,Yes,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2
2018/12/19,name16,name16@gmail.com,11010101,No,123141,No,Male,No,0,0,0,0,0,2,0,4,0,1,0,0,0,0,3,0,0
2018/12/19,name17,name17@gmail.com,11010101,Yes,123141,No,Male,No,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0
2018/12/19,name18,name18@gmail.com,11010101,Yes,123141,Yes,Male,Yes,0,0,0,0,0,0,3,2,0,4,0,0,0,1,0,0,0
2018/12/19,name19,name19@gmail.com,11010101,Yes,123141,No,Male,Yes,0,0,0,0,0,4,1,0,0,2,0,0,0,0,3,0,0
2018/12/19,name20,name20@gmail.com,11010101,No,123141,No,Male,Yes,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,4,0
2018/12/19,name21,name21@gmail.com,11010101,Yes,123141,Yes,Female,No,0,3,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0
2018/12/19,name22,name22@gmail.com,11010101,Yes,123141,No,Male,Yes,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,4
2018/12/19,name23,name23@gmail.com,11010101,Yes,123141,No,Female,Yes,0,1,0,0,4,0,0,3,0,0,0,2,0,0,0,0,0
2018/12/19,name24,name24@gmail.com,11010101,No,123141,Yes,Female,No,0,2,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0
2018/12/19,name25,name25@gmail.com,11010101,Yes,123141,No,Male,Yes,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,3
2018/12/19,name26,name26@gmail.com,11010101,Yes,123141,No,Male,No,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,4,0
2018/12/19,name27,name27@gmail.com,11010101,Yes,123141,Yes,Female,No,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0
2018/12/19,name28,name28@gmail.com,11010101,Yes,123141,No,Female,Yes,3,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0
2018/12/19,name29,name29@gmail.com,11010101,Yes,123141,No,Female,No,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,3,0
2018/12/19,name30,name30@gmail.com,11010101,Yes,123141,No,Female,No,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0
2018/12/19,name31,name31@gmail.com,11010101,Yes,123141,Yes,Male,Yes,0,0,0,0,0,0,2,0,0,3,4,0,1,0,0,0,0
